User;Follower Count;First Tweet Date;Last Tweet Date;Time Between T1 Tn;Avg Tweets Per Day;Tweet Total;Retweet Total;Favorite Total;Avg Favorites;Average Retweets;Avg Inter Per Tweet;Avg Int Per Tweet Per Follower
CHANEL;13275107;2017-10-03 14:47:03;2017-02-21 23:00:47;223;0.8968609865470852;200;216417;552864;2764.32;1082.085;3449.6905829596412;0.0002598616028450574
SamsungMobile;12349507;2017-09-26 01:27:35;2017-03-29 15:49:45;180;1.1111111111111112;200;50002;212410;1062.05;250.01;1457.8444444444444;0.00011804879696367186
Xbox;12306599;2017-10-03 13:00:03;2017-09-28 18:35:42;4;50.0;200;4956;19853;99.265;24.78;6202.25;0.000503977581458533
VictoriasSecret;11175417;2017-10-03 16:07:02;2017-09-27 18:03:18;5;40.0;200;1693;11210;56.05;8.465;2580.6;0.00023091755770724258
Android;9946563;2017-10-03 14:22:24;2017-06-13 17:24:54;111;1.8018018018018018;200;28385;63944;319.72;141.925;831.7927927927927;8.362615234958977e-05
marcjacobs;9091338;2017-10-03 15:42:55;2017-08-21 19:57:38;42;4.761904761904762;200;11558;34825;174.125;57.79;1104.357142857143;0.00012147355459198007
RockstarGames;8841966;2017-10-03 14:02:10;2017-06-23 19:23:15;101;1.9405940594059405;196;220422;616144;3143.591836734694;1124.6020408163265;8282.831683168317;0.0009367635753370141
hm;8669704;2017-10-03 15:00:15;2017-08-15 07:00:03;49;4.081632653061225;200;107105;85202;426.01;535.525;3924.632653061224;0.0004526835810151332
Burberry;8364978;2017-09-29 18:09:21;2017-08-25 14:00:22;35;5.714285714285714;200;41141;101847;509.235;205.705;4085.3714285714286;0.0004883899788584535
Microsoft;8234976;2017-10-03 03:19:46;2017-08-28 19:28:11;35;5.714285714285714;200;34025;28070;140.35;170.125;1774.142857142857;0.00021543995479074343
Dior;7979993;2017-10-03 08:50:29;2017-04-19 04:23:54;167;1.1976047904191616;200;52791;158390;791.95;263.955;1264.556886227545;0.00015846591422167224
Nike;7211897;2017-10-02 15:58:24;2017-09-09 20:16:26;22;9.090909090909092;200;46638;27706;138.53;233.19;3379.272727272727;0.00046856918883793363
LouisVuitton;6943196;2017-10-02 15:32:44;2017-05-15 12:35:01;140;1.4285714285714286;200;72357;206170;1030.85;361.785;1989.4785714285713;0.0002865364266583532
GooglePlay;6801353;2017-10-03 15:30:33;2017-09-30 03:48:14;3;66.66666666666667;200;26;123;0.615;0.13;49.666666666666664;7.302468592156099e-06
Ubisoft;6732040;2017-10-03 14:20:14;2017-09-07 07:45:25;26;7.6923076923076925;200;7123;28910;144.55;35.615;1385.8846153846152;0.00020586399002154104
googlechrome;6342044;2017-10-03 15:10:41;2017-09-28 14:03:18;5;40.0;200;8;49;0.245;0.04;11.4;1.7975277371144067e-06
Windows;6171463;2017-10-03 16:04:00;2017-09-28 21:30:00;4;50.0;200;1628;907;4.535;8.14;633.75;0.00010269039934291107
gmail;5789111;2017-10-03 15:42:16;2017-10-02 05:38:17;1;200.0;200;74;125;0.625;0.37;199.0;3.437488070275384e-05
Skype;5420090;2017-10-03 16:16:00;2017-09-29 05:47:56;4;50.0;200;30;134;0.67;0.15;41.0;7.564450036807507e-06
EA;5072063;2017-10-01 21:01:37;2017-08-21 17:14:07;41;4.878048780487805;200;55781;34706;173.53;278.905;2207.0;0.00043512866460846403
dolcegabbana;5064874;2017-10-03 09:06:40;2017-08-08 09:49:54;55;3.6363636363636362;200;18238;68494;342.47;91.19;1576.9454545454546;0.0003113493947816776
gucci;4967007;2017-10-03 14:05:18;2017-08-21 14:00:45;43;4.651162790697675;200;26126;105530;527.65;130.63;3061.767441860465;0.0006164210040091477
intel;4759474;2017-10-03 15:19:08;2017-08-19 00:19:01;45;4.444444444444445;200;2863;8880;44.4;14.315;260.9555555555556;5.482865450164358e-05
steam_games;4737975;2017-10-02 17:03:41;2017-08-09 17:02:55;54;3.7037037037037037;200;29484;82382;411.91;147.42;2071.5925925925926;0.00043723164275721014
Dropbox;4702046;2017-10-03 15:17:53;2017-08-23 18:09:17;40;5.0;200;583;2118;10.59;2.915;67.525;1.4360769758526397e-05
AppStore;4667310;2017-09-30 13:54:01;2017-06-12 23:49:26;109;1.834862385321101;200;12439;40122;200.61;62.195;482.2110091743119;0.00010331668759399139
BlackBerry;4535216;2017-10-03 14:35:02;2017-07-25 20:07:12;69;2.898550724637681;200;3362;7119;35.595;16.81;151.8985507246377;3.349312375080651e-05
nikestore;4456054;2017-10-03 15:59:24;2017-09-29 22:29:29;3;66.66666666666667;200;273;1293;6.465;1.365;522.0;0.00011714400229440666
Versace;4120108;2017-10-02 14:38:38;2017-06-17 16:28:58;106;1.8867924528301887;200;116606;112647;563.235;583.03;2162.764150943396;0.0005249289948087274
YSL;3976129;2017-10-02 08:55:42;2016-03-07 19:31:23;573;0.34904013961605584;200;30495;73797;368.985;152.475;182.01047120418846;4.577579630947297e-05
adidasoriginals;3824268;2017-10-03 15:48:53;2017-09-01 17:03:04;31;6.451612903225806;200;9149;33092;165.46;45.745;1362.6129032258063;0.00035630685486106266
TripAdvisor;3680316;2017-10-03 14:52:46;2017-08-30 11:33:10;34;5.882352941176471;200;1212;2877;14.385;6.06;120.26470588235296;3.267782056822103e-05
CalvinKlein;3539899;2017-10-03 15:40:16;2017-04-21 15:00:01;165;1.2121212121212122;200;16247;56170;280.85;81.235;438.8909090909091;0.00012398402019122835
googlemaps;3510812;2017-10-03 15:57:24;2017-09-15 18:27:18;17;11.764705882352942;200;3432;490;2.45;17.16;230.70588235294116;6.571296963578259e-05
Jumpman23;3454958;2017-09-30 14:00:04;2017-06-14 13:45:52;108;1.8518518518518519;200;144894;236635;1183.175;724.47;3532.675925925926;0.0010224946080172107
CocaCola;3389323;2017-10-03 15:56:01;2017-09-25 17:07:01;7;28.571428571428573;200;1083;4819;24.095;5.415;843.1428571428571;0.00024876438661728523
giorgioarmani;3350946;2017-10-02 17:42:35;2017-07-04 08:03:43;90;2.2222222222222223;200;11391;33655;168.275;56.955;500.5111111111111;0.00014936412317927865
MonsterEnergy;3342338;2017-10-02 23:32:37;2017-08-08 20:29:10;55;3.6363636363636362;200;33279;58655;293.275;166.395;1671.5272727272727;0.0005001071922490402
nikefootball;3324457;2017-10-01 23:18:30;2017-08-02 23:27:56;59;3.389830508474576;200;228;860;4.3;1.14;18.440677966101696;5.546974428034923e-06
adidas;3246202;2017-10-03 11:50:30;2017-09-22 06:55:32;11;18.181818181818183;200;311;1730;8.65;1.555;185.54545454545456;5.715770446369467e-05
IndonesiaGaruda;3231705;2017-10-03 16:00:18;2017-10-03 03:34:11;1;200.0;200;16;38;0.19;0.08;54.0;1.6709445942621618e-05
OpTicGaming;3166343;2017-10-02 22:18:24;2017-06-17 00:40:35;107;1.8691588785046729;200;167466;498360;2491.8;837.33;6222.672897196261;0.0019652554689104313
adidasfootball;3141955;2017-10-03 11:47:01;2017-09-25 05:54:14;8;25.0;200;1697;7335;36.675;8.485;1129.0;0.00035933041689012094
nordcurrent;3122007;2017-09-21 20:01:06;2015-12-23 09:11:21;638;0.31347962382445144;200;8730;48999;244.995;43.65;90.48432601880879;2.898274283779914e-05
pepsi;3099297;2017-10-02 14:33:13;2017-08-16 22:00:09;46;4.3478260869565215;200;8623;15862;79.31;43.115;532.2826086956522;0.00017174301420472198
CebuPacificAir;3081362;2017-10-03 16:11:15;2017-09-28 07:21:28;5;40.0;200;124;536;2.68;0.62;132.0;4.2838199471532396e-05
AirAsia;3062086;2017-10-03 03:24:34;2017-08-01 09:43:17;62;3.225806451612903;200;5374;6249;31.245;26.87;187.46774193548387;6.122223279668954e-05
Razer;2974181;2017-10-03 15:30:04;2017-09-09 02:44:59;24;8.333333333333334;200;53196;86893;434.465;265.98;5837.041666666666;0.001962571096603289
Photoshop;2961426;2017-10-03 16:08:19;2017-04-13 14:13:47;173;1.1560693641618498;200;12307;50968;254.84;61.535;365.7514450867052;0.00012350517794019003
LouboutinWorld;2894560;2017-10-03 16:00:10;2017-07-24 20:34:52;70;2.857142857142857;200;11379;44238;221.19;56.895;794.5285714285714;0.00027449027535396447
firefox;2824187;2017-10-03 14:37:14;2017-09-13 23:59:13;19;10.526315789473685;200;3502;13244;66.22;17.51;881.3684210526317;0.0003120786339759484
flyPAL;2830706;2017-10-03 16:10:52;2017-09-22 00:15:26;11;18.181818181818183;200;17;158;0.79;0.085;15.909090909090908;5.62018482636166e-06
brazuca;2792966;2016-03-10 16:59:36;2014-06-20 19:51:11;628;0.3184713375796178;200;145896;145516;727.58;729.48;464.031847133758;0.0001661430347285853
