User;Follower Count;First Tweet Date;Last Tweet Date;Time Between T1 Tn;Avg Tweets Per Day;Tweet Total;Retweet Total;Favorite Total;Avg Favorites;Average Retweets;Avg Inter Per Tweet;Avg Int Per Tweet Per Follower
PlayStation;14810771;2017-10-03 16:01:35;2017-09-07 04:00:04;26;7.6923076923076925;200;106772;278404;1392.02;533.86;14814.461538461539;0.0010002491793615295
Starbucks;11907878;2017-10-03 15:42:20;2017-09-29 18:48:38;3;66.66666666666667;200;1842;5089;25.445;9.21;2310.333333333333;0.00019401721560578073
NintendoAmerica;8039951;2017-10-01 18:00:04;2017-08-30 04:27:52;32;6.25;200;241839;510668;2553.34;1209.195;23515.84375;0.0029248740135356544
NatGeoTravel;6044319;2017-10-03 16:00:51;2017-09-16 16:00:33;17;11.764705882352942;200;12747;37923;189.615;63.735;2980.588235294118;0.000493122258321263
SamsungMobileUS;5360287;2017-10-03 16:11:35;2017-09-28 19:30:04;4;50.0;200;226;692;3.46;1.13;229.5;4.281487166638652e-05
WholeFoods;4863579;2017-10-03 16:12:05;2017-09-29 13:36:44;4;50.0;200;120;330;1.65;0.6;112.5;2.3131113938932625e-05
SpaceX;4844383;2017-10-02 21:11:00;2017-05-01 10:15:39;154;1.2987012987012987;200;265346;806212;4031.06;1326.73;6958.16883116883;0.0014363374719069137
Sony;4164562;2017-10-03 16:06:49;2017-09-13 12:47:32;20;10.0;200;42795;13132;65.66;213.975;2796.35;0.0006714631694761658
netflix;3701025;2017-10-02 06:15:03;2017-09-16 18:05:05;15;13.333333333333334;200;175470;199250;996.25;877.35;24981.333333333336;0.006749841823098557
MichaelKors;3607369;2017-10-03 16:15:27;2017-08-23 16:00:00;41;4.878048780487805;200;15336;95555;477.775;76.68;2704.6585365853657;0.0007497593222610067
McDonalds;3497817;2017-10-03 16:13:36;2017-10-02 18:08:29;1;200.0;200;332;945;4.725;1.66;1277.0;0.00036508485149451786
Treyarch;3396530;2017-09-29 17:13:59;2017-04-07 18:16:06;174;1.1494252873563218;200;133619;461946;2309.73;668.095;3422.787356321839;0.0010077306416612951
Zappos;2828125;2017-10-03 04:46:03;2017-09-28 05:31:52;4;50.0;200;408;788;3.94;2.04;299.0;0.00010572375690607734
Etsy;2713953;2017-10-03 01:00:03;2017-08-06 19:00:07;57;3.508771929824561;200;4249;11745;58.725;21.245;280.5964912280702;0.00010339032814056478
amazon;2671266;2017-10-02 05:20:00;2017-09-01 21:06:56;30;6.666666666666667;200;5316;5867;29.335;26.58;372.76666666666665;0.00013954681662802082
addthis;2481171;2017-10-03 15:53:01;2017-06-01 16:34:45;123;1.6260162601626016;200;1679;1015;5.075;8.395;21.902439024390244;8.827460511343331e-06
SUBWAY;2457937;2017-10-03 12:07:05;2017-06-18 17:49:46;106;1.8867924528301887;200;9439;30519;152.595;47.195;376.96226415094344;0.00015336530763438748
someecards;2343499;2017-10-03 15:30:00;2017-09-27 16:40:14;5;40.0;200;899;3254;16.27;4.495;830.5999999999999;0.00035442729013325795
Forever21;2295063;2017-10-03 16:00:04;2017-08-28 03:05:02;36;5.555555555555555;200;6097;44608;223.04;30.485;1408.4722222222222;0.0006136965400175168
Bungie;2293309;2017-10-03 15:15:59;2017-08-30 16:07:43;33;6.0606060606060606;200;124739;346540;1732.7;623.695;14281.18181818182;0.0062273255885629975
ShareThis;2265185;2017-09-29 15:45:01;2015-02-25 21:30:34;946;0.21035940803382663;199;4474;4673;23.482412060301506;22.482412060301506;9.669133192389005;4.2685843286040675e-06
SouthwestAir;2163929;2017-10-03 16:14:18;2017-10-02 21:56:13;1;200.0;200;8;71;0.355;0.04;79.0;3.650766730331725e-05
InfinityWard;2149937;2017-09-29 17:26:16;2017-06-06 23:05:22;114;1.7543859649122806;200;32152;59649;298.245;160.76;805.2719298245613;0.00037455605900292024
TOMS;2134619;2017-09-29 22:00:03;2017-08-16 01:18:02;44;4.545454545454546;200;2833;2514;12.57;14.165;121.52272727272728;5.692946950848244e-05
threadless;2130067;2017-10-03 15:17:40;2017-08-28 02:36:33;36;5.555555555555555;200;736;1151;5.755;3.68;52.416666666666664;2.4607989639136546e-05
JetBlue;2114828;2017-10-03 16:15:48;2017-10-02 12:30:39;1;200.0;200;61;231;1.155;0.305;292.0;0.00013807269432786022
AndroidDev;1949139;2017-09-28 21:39:52;2017-05-17 23:15:58;133;1.5037593984962405;200;18373;19965;99.825;91.865;288.2556390977444;0.00014788870321600685
ToysRUs;1948959;2017-10-03 14:17:57;2017-09-22 18:24:40;10;20.0;200;2114;2404;12.02;10.57;451.8;0.00023181606180530223
Target;1925427;2017-09-29 20:21:36;2017-09-21 21:30:08;7;28.571428571428573;200;3003;7651;38.255;15.015;1522.0;0.0007904740091418682
artnet;1902944;2017-10-03 15:51:05;2017-09-27 12:27:05;6;33.333333333333336;200;2164;4639;23.195;10.82;1133.8333333333333;0.0005958311612603068
Naughty_Dog;1894227;2017-10-03 16:13:39;2017-06-13 14:55:01;112;1.7857142857142858;200;65824;208097;1040.485;329.12;2445.723214285714;0.0012911457889079366
DuaneReade;1860601;2017-10-03 15:07:00;2017-08-02 00:45:00;62;3.225806451612903;200;481;347;1.735;2.405;13.35483870967742;7.177701565073554e-06
Tesla;1803443;2017-09-29 01:05:38;2016-09-30 17:11:43;363;0.5509641873278237;200;440641;626116;3130.58;2203.205;2938.724517906336;0.0016295078457740756
Audi;1802206;2017-10-03 15:57:33;2017-09-11 18:32:00;21;9.523809523809524;200;3491;13352;66.76;17.455;802.047619047619;0.00044503659351240594
verizon;1736656;2017-10-03 15:06:08;2017-09-24 19:00:08;8;25.0;200;881;5077;25.385;4.405;744.75;0.00042884140555181913
amazonmusic;1706240;2017-10-03 05:13:02;2017-09-05 22:42:46;27;7.407407407407407;200;14742;37035;185.175;73.71;1917.6666666666667;0.001123913790947737
github;1647563;2017-10-02 20:42:58;2017-02-08 01:54:56;236;0.847457627118644;200;31061;53492;267.46;155.305;358.27542372881356;0.00021745779902122928
2K;1632989;2017-10-03 16:14:40;2017-07-04 19:18:35;90;2.2222222222222223;200;155152;739;3.695;775.76;1732.1222222222223;0.001060706607467792
TiffanyAndCo;1615021;2017-10-03 14:04:22;2017-07-06 13:05:22;89;2.247191011235955;200;11011;46234;231.17;55.055;643.2022471910112;0.0003982624666744341
LouisVuitton_US;1600365;2017-10-03 00:50:11;2017-03-31 15:15:04;185;1.0810810810810811;200;6128;16640;83.2;30.64;123.07027027027027;7.690137579256624e-05
woot;1592230;2017-10-03 05:00:25;2017-08-04 14:00:02;59;3.389830508474576;200;600;1914;9.57;3.0;42.610169491525426;2.6761315570944793e-05
pizzahut;1571828;2017-10-03 14:25:11;2017-09-29 02:26:57;4;50.0;200;189;985;4.925;0.945;293.5;0.00018672526510534233
BurgerKing;1563571;2017-10-01 18:45:00;2017-09-07 21:39:11;23;8.695652173913043;200;12583;34407;172.035;62.915;2043.0434782608695;0.0013066521944068222
footlocker;1530624;2017-10-03 16:00:02;2017-09-16 14:30:42;17;11.764705882352942;200;10240;26923;134.615;51.2;2186.0588235294117;0.0014282141293547022
bethesda;1493815;2017-10-03 14:51:50;2017-09-15 18:46:10;17;11.764705882352942;200;62401;16061;80.305;312.005;4615.411764705882;0.0030896809609663057
AmericanAir;1482364;2017-10-03 16:15:38;2017-10-03 06:13:40;1;200.0;200;2;23;0.115;0.01;25.0;1.686495354717195e-05
riotgames;1456531;2017-09-23 19:14:31;2016-04-06 23:31:58;534;0.37453183520599254;200;52266;45073;225.365;261.33;182.28277153558054;0.0001251485698111338
UncleLouie;1401279;2017-10-03 12:27:02;2017-09-21 12:45:44;11;18.181818181818183;200;155898;2545;12.725;779.49;14403.90909090909;0.0102791157870125
Delta;1387810;2017-10-03 16:16:06;2017-10-03 02:40:20;1;200.0;200;0;30;0.15;0.0;30.0;2.1616791923966536e-05
DellOutlet;1376445;2017-10-03 16:15:01;2017-09-28 14:15:01;5;40.0;200;16;81;0.405;0.08;19.4;1.4094279103051701e-05
AskPlayStation;1246224;2017-10-03 16:14:48;2017-10-03 00:27:23;1;200.0;200;19;92;0.46;0.095;111.0;8.906905981589185e-05
googlenexus;1242918;2017-10-03 15:16:35;2017-09-27 13:45:40;6;33.333333333333336;200;24;23;0.115;0.12;7.833333333333334;6.302373393364111e-06
WWENetwork;1219856;2017-10-03 15:30:12;2017-09-24 23:58:50;8;25.0;200;56884;45362;226.81;284.42;12780.75;0.010477261250508256
dominos;1219361;2017-10-03 16:10:19;2017-10-01 22:13:22;1;200.0;200;412;437;2.185;2.06;849.0;0.0006962663230987378
kfc;1207828;2017-10-03 16:04:39;2017-09-21 15:11:28;12;16.666666666666668;200;105;292;1.46;0.525;33.08333333333333;2.7390765351799535e-05
VANS_66;1197696;2017-10-02 22:11:09;2017-08-23 00:46:24;40;5.0;200;4818;7729;38.645;24.09;313.675;0.00026189867879662285
GFuelEnergy;1144405;2017-10-03 16:12:08;2017-09-29 16:10:42;4;50.0;200;2443;14039;70.195;12.215;4120.5;0.003600560990208886
GameStop;1138799;2017-10-03 15:39:01;2017-09-13 22:07:59;19;10.526315789473685;200;16631;25214;126.07;83.155;2202.3684210526317;0.0019339395460064785
UrbanDecay;1136972;2017-10-03 15:30:33;2017-08-04 14:30:42;60;3.3333333333333335;200;8964;57303;286.515;44.82;1104.45;0.0009713959534623544
Whataburger;1137966;2017-10-03 16:15:56;2017-09-23 02:20:10;10;20.0;200;4177;14264;71.32;20.885;1844.1000000000001;0.0016205229330226035
SHGames;1123019;2017-10-01 21:04:53;2017-08-25 06:00:58;37;5.405405405405405;200;38558;59323;296.615;192.79;2645.4324324324325;0.002355643521999568
MTA;1106114;2017-10-03 15:24:33;2017-08-18 22:12:27;45;4.444444444444445;200;332;408;2.04;1.66;16.444444444444443;1.4866862226176002e-05
thinkgeek;1088832;2017-10-03 15:38:37;2017-09-29 08:43:18;4;50.0;200;890;4217;21.085;4.45;1276.75;0.0011725867718803268
UrbanOutfitters;1081954;2017-10-03 16:10:48;2017-09-02 20:30:11;30;6.666666666666667;200;20244;13278;66.39;101.22;1117.4;0.0010327610970521854
socialstartnow;1070637;2017-10-03 16:11:00;2017-10-01 17:30:02;1;200.0;200;6;67;0.335;0.03;73.0;6.818370745640213e-05
VSPINK;1054255;2017-10-03 15:01:05;2017-09-19 04:19:05;14;14.285714285714286;200;3683;25750;128.75;18.415;2102.3571428571427;0.0019941637866143793
Florez_vanessa;1044895;2017-10-03 13:58:18;2017-09-15 00:37:24;18;11.11111111111111;200;114646;40868;204.34;573.23;8639.666666666668;0.008268454406104601
DVF;1046188;2017-10-03 16:00:49;2017-04-12 22:35:48;173;1.1560693641618498;200;3788;3889;19.445;18.94;44.3757225433526;4.2416585301449263e-05
LACOSTE;1024324;2017-10-02 11:30:42;2017-06-14 19:40:07;109;1.834862385321101;200;6410;17468;87.34;32.05;219.06422018348624;0.0002138622351750874
GearboxSoftware;1020379;2017-10-02 21:58:28;2017-07-31 20:11:24;63;3.1746031746031744;200;6476;13642;68.21;32.38;319.3333333333333;0.00031295561093802723
telltalegames;980868;2017-10-02 22:57:55;2017-08-18 16:15:01;45;4.444444444444445;200;16686;47006;235.03;83.43;1415.3777777777777;0.0014429849661501627
BethesdaStudios;973127;2017-09-30 14:02:11;2016-11-08 02:43:00;326;0.6134969325153374;200;102609;142631;713.155;513.045;752.2699386503068;0.0007730439486832724
Macys;959696;2017-10-03 16:06:55;2017-09-25 18:58:31;7;28.571428571428573;200;936;2832;14.16;4.68;538.2857142857142;0.0005608919014830886
