User "Follower Count" "First Tweet Date" "Last Tweet Date" "Time Between T1 Tn" "Avg Tweets Per Day" "Tweet Total" "Retweet Total" "Favorite Total" "Avg Favorites" "Average Retweets" "Avg Inter Per Tweet" "Avg Int Per Tweet Per Follower"
katyperry 104244321 "2017-09-21 04:32:17" "2017-06-15 00:38:50" 98 2.0306122448979593 199 714110 2301531 11565.4824120603 3588.4924623115576 30771.84693877551 0.0002951896721431521
justinbieber 101806540 "2017-09-15 23:45:34" "2016-11-27 21:55:12" 292 0.684931506849315 200 10776652 21431493 107157.465 53883.26 110301.86643835617 0.0010834457829365007
BarackObama 95118729 "2017-09-20 16:32:34" "2016-09-14 19:05:00" 370 0.5405405405405406 200 7939994 29611696 148058.48 39699.97 101491.05405405405 0.0010669933789175636
taylorswift13 85578566 "2017-09-22 20:50:44" "2017-08-21 15:00:54" 32 0.4375 14 747974 1956942 139781.57142857142 53426.71428571428 84528.625 0.0009877312620545664
rihanna 78536565 "2017-09-21 21:14:17" "2016-04-20 20:47:18" 519 0.3853564547206166 200 2768720 8279727 41398.635 13843.6 21287.95183044316 0.00027105784204393404
TheEllenShow 73705206 "2017-09-23 16:57:59" "2017-08-31 17:26:51" 22 9.090909090909092 200 415921 1973057 9865.285 2079.605 108589.90909090909 0.001473300394695445
ladygaga 70956220 "2017-09-23 20:02:14" "2017-04-29 00:36:53" 147 1.3605442176870748 200 1418238 4019262 20096.31 7091.19 36989.795918367345 0.0005213044877301433
YouTube 69906822 "2017-09-23 22:00:01" "2017-08-22 22:07:50" 31 6.451612903225806 200 219018 642382 3211.91 1095.09 27787.09677419355 0.0003974876268040557
jtimberlake 62033668 "2017-09-22 20:04:48" "2016-10-11 00:28:48" 346 0.5780346820809249 200 783159 2307995 11539.975 3915.795 8933.971098265896 0.00014401810156165353
Twitter 61944279 "2017-09-23 20:00:50" "2017-08-29 16:48:36" 25 8.0 200 110506 27644 138.22 552.53 5526.0 8.920920687445567e-05
Cristiano 59798615 "2017-09-22 17:00:04" "2017-01-30 15:41:06" 235 0.851063829787234 200 2820407 13528947 67644.735 14102.035 69571.71914893617 0.0011634336204765976
KimKardashian 55735069 "2017-09-23 22:11:34" "2017-09-06 20:20:58" 17 11.764705882352942 200 864608 742339 3711.695 4323.04 94526.29411764705 0.001695993129884652
britneyspears 55560777 "2017-09-22 19:25:20" "2017-02-22 20:37:59" 211 0.9478672985781991 200 493632 2359761 11798.805 2468.16 13523.189573459716 0.00024339453664335393
selenagomez 52857686 "2017-09-20 04:56:37" "2016-03-17 22:28:33" 551 0.3629764065335753 200 3740167 10027521 50137.605 18700.835 24986.729582577133 0.00047271705353460106
cnnbrk 52628109 "2017-09-23 21:14:40" "2017-09-11 12:29:16" 12 16.666666666666668 200 77174 99514 497.57 385.87 14724.0 0.0002797744452494009
ArianaGrande 52901378 "2017-09-22 17:32:56" "2017-06-09 17:55:26" 104 1.9230769230769231 200 2628786 11542193 57710.965 13143.93 136259.41346153847 0.0025757252195120223
