User "Follower Count" "First Tweet Date" "Last Tweet Date" "Time Between T1 Tn" "Avg Tweets Per Day" "Tweet Total" "Retweet Total" "Favorite Total" "Avg Favorites" "Average Retweets" "Avg Inter Per Tweet" "Avg Int Per Tweet Per Follower"
"CHANEL
" 13260151 "2017-09-12 19:33:10" "2017-01-24 20:00:18" 230 0.8695652173913043 200 258241 643253 3216.265 1291.205 3919.5391304347822 0.0002955878202619851
"SamsungMobile
" 12339432 "2017-09-20 12:00:08" "2017-03-29 15:47:10" 174 1.1494252873563218 200 50514 213576 1067.88 252.57 1517.7586206896553 0.00012300068760779712
"Xbox
" 12284721 "2017-09-24 00:44:25" "2017-09-21 21:51:27" 2 100.0 200 2192 11257 56.285 10.96 6724.5 0.0005473872788808146
"VictoriasSecret
" 11146558 "2017-09-24 16:00:11" "2017-09-16 18:04:49" 7 28.571428571428573 200 3141 23332 116.66 15.705 3781.857142857143 0.0003392847498624367
"Android
" 9927382 "2017-09-22 12:08:39" "2017-06-02 19:30:01" 111 1.8018018018018018 200 28130 62955 314.775 140.65 820.5855855855856 8.265881030724773e-05
"marcjacobs
" 9071246 "2017-09-22 14:59:02" "2017-08-14 21:52:53" 38 5.2631578947368425 200 11048 34238 171.19 55.24 1191.7368421052631 0.00013137520932684035
"RockstarGames
" 8784479 "2017-09-22 14:00:01" "2017-06-23 17:28:46" 90 2.2222222222222223 200 149237 459259 2296.295 746.185 6761.066666666667 0.0007696605190434932
"hm
" 8658408 "2017-09-24 15:00:02" "2017-07-11 07:00:05" 75 2.6666666666666665 200 90915 92892 464.46 454.575 2450.76 0.0002830497246145019
"Burberry
" 8347738 "2017-09-24 15:00:23" "2017-08-08 11:30:06" 47 4.25531914893617 200 41516 106181 530.905 207.58 3142.4893617021276 0.0003764480104313441
"Microsoft
" 8223393 "2017-09-23 01:38:14" "2017-07-26 17:54:31" 58 3.4482758620689653 200 48955 31811 159.055 244.775 1392.5172413793102 0.00016933609294597865
"Dior
" 7946162 "2017-09-22 15:22:31" "2017-04-01 15:12:28" 174 1.1494252873563218 200 52137 152875 764.375 260.685 1178.2298850574712 0.00014827660008158292
"Nike
" 7182082 "2017-09-23 18:14:00" "2017-08-30 21:19:30" 23 8.695652173913043 200 49010 33298 166.49 245.05 3578.608695652174 0.0004982689832352476
"LouisVuitton
" 6905724 "2017-09-22 14:50:02" "2017-05-13 15:40:34" 131 1.5267175572519085 200 72950 201280 1006.4 364.75 2093.358778625954 0.0003031338609284058
"GooglePlay
" 6789340 "2017-09-24 13:52:33" "2017-09-21 05:28:35" 3 66.66666666666667 200 194 916 4.58 0.97 370.0 5.44971970765936e-05
"Ubisoft
" 6718968 "2017-09-22 22:41:47" "2017-09-05 08:53:43" 17 11.764705882352942 200 4919 22503 112.515 24.595 1613.0588235294117 0.0002400753841258675
"googlechrome
" 6331592 "2017-09-23 03:19:43" "2017-09-19 02:02:17" 4 50.0 200 9 51 0.255 0.045 15.0 2.369072422859843e-06
"Windows
" 6164624 "2017-09-24 16:10:49" "2017-09-21 19:07:56" 2 100.0 200 1750 957 4.785 8.75 1353.5 0.00021955921399261335
"gmail
" 5780179 "2017-09-24 13:49:54" "2017-09-22 10:43:19" 2 100.0 200 58 203 1.015 0.29 130.5 2.2577155482555126e-05
"Skype
" 5420410 "2017-09-23 22:04:01" "2017-09-21 21:50:25" 2 100.0 200 76 359 1.795 0.38 217.5 4.012611592112036e-05
"EA
" 5061471 "2017-09-23 21:00:05" "2017-08-15 22:41:42" 38 5.2631578947368425 200 57099 34425 172.125 285.495 2408.5263157894738 0.0004758550065365333
"dolcegabbana
" 5042784 "2017-09-24 15:32:54" "2017-07-27 14:06:23" 59 3.389830508474576 200 17770 67330 336.65 88.85 1442.3728813559323 0.00028602709958545366
"gucci
" 4926062 "2017-09-24 15:28:20" "2017-08-03 17:00:24" 51 3.9215686274509802 200 26480 104422 522.11 132.4 2566.7058823529414 0.0005210461992465668
"intel
" 4754032 "2017-09-22 19:14:54" "2017-08-02 16:51:27" 51 3.9215686274509802 200 3539 9536 47.68 17.695 256.37254901960785 5.392739237338071e-05
"steam_games
" 4726817 "2017-09-23 17:18:35" "2017-07-28 14:41:59" 57 3.508771929824561 200 23430 70760 353.8 117.15 1652.4561403508771 0.0003495917316771259
"Dropbox
" 4700681 "2017-09-22 23:48:35" "2017-08-14 18:40:35" 39 5.128205128205129 200 1612 5485 27.425 8.06 181.97435897435898 3.8712339547048394e-05
"AppStore
" 4662162 "2017-09-24 13:33:02" "2017-06-11 17:57:27" 104 1.9230769230769231 200 12101 38781 193.905 60.505 489.25 0.00010494058336025218
"BlackBerry
" 4535490 "2017-09-22 21:16:06" "2017-07-14 13:45:04" 70 2.857142857142857 200 3271 7155 35.775 16.355 148.94285714285712 3.2839419146080604e-05
"nikestore
" 4451572 "2017-09-24 16:18:29" "2017-09-21 18:20:30" 2 100.0 200 729 3135 15.675 3.645 1932.0 0.0004340039878047575
"Versace
" 4108365 "2017-09-24 14:38:43" "2017-06-10 19:03:54" 105 1.9047619047619047 200 116454 111325 556.625 582.27 2169.3238095238094 0.0005280260662146156
"YSL
" 3971220 "2017-09-18 17:17:17" "2016-03-07 19:26:26" 559 0.35778175313059035 200 30612 73549 367.745 153.06 186.3345259391771 4.69212297327212e-05
"adidasoriginals
" 3818822 "2017-09-24 14:37:58" "2017-08-28 01:26:37" 27 7.407407407407407 200 6943 22768 113.84 34.715 1100.4074074074074 0.00028815362627726754
"TripAdvisor
" 3678309 "2017-09-22 20:59:28" "2017-08-21 18:00:02" 32 6.25 200 1118 2960 14.8 5.59 127.4375 3.464567549925795e-05
"CalvinKlein
" 3537546 "2017-09-24 14:05:26" "2017-04-20 11:30:07" 157 1.2738853503184713 200 16324 55927 279.635 81.62 460.19745222929936 0.0001300894609509811
"googlemaps
" 3504225 "2017-09-22 19:20:07" "2017-09-12 11:51:28" 10 20.0 200 3495 390 1.95 17.475 388.5 0.00011086616869635939
"Jumpman23
" 3449285 "2017-09-23 23:23:02" "2017-06-12 22:23:06" 103 1.941747572815534 200 142874 233336 1166.68 714.37 3652.5242718446602 0.0010589221452691384
"CocaCola
" 3387759 "2017-09-24 14:11:58" "2017-09-18 17:25:00" 5 40.0 200 1192 4392 21.96 5.96 1116.8 0.00032965745202064256
"giorgioarmani
" 3344971 "2017-09-24 10:26:03" "2017-06-27 12:50:26" 88 2.272727272727273 200 12055 35400 177.0 60.275 539.2613636363636 0.00016121555721600086
"MonsterEnergy
" 3335403 "2017-09-23 16:22:23" "2017-07-30 16:45:41" 54 3.7037037037037037 200 36109 65589 327.945 180.545 1883.2962962962963 0.0005646383049653359
"nikefootball
" 3321097 "2017-09-23 23:52:27" "2017-07-26 09:51:26" 59 3.389830508474576 200 235 1002 5.01 1.175 20.966101694915253 6.313004918228902e-06
"adidas
" 3239737 "2017-09-24 00:45:09" "2017-09-17 18:21:36" 6 33.333333333333336 200 231 1015 5.075 1.155 207.66666666666666 6.409985337287152e-05
"IndonesiaGaruda
" 3223734 "2017-09-24 16:17:18" "2017-09-24 08:08:36" 1 200.0 200 153 255 1.275 0.765 408.0 0.00012656131057959497
"OpTicGaming
" 3149864 "2017-09-23 21:08:35" "2017-06-08 13:14:43" 107 1.8691588785046729 200 179497 499518 2497.59 897.485 6345.934579439252 0.0020146693887225773
"adidasfootball
" 3135397 "2017-09-22 20:35:24" "2017-09-11 06:47:47" 11 18.181818181818183 200 7670 16433 82.165 38.35 2191.181818181818 0.0006988530697011632
"nordcurrent
" 3110483 "2017-09-21 20:01:06" "2015-12-23 09:11:21" 638 0.31347962382445144 200 8735 48893 244.465 43.675 90.32601880877743 2.903922600084213e-05
"pepsi
" 3098426 "2017-09-24 16:15:06" "2017-08-12 04:42:47" 43 4.651162790697675 200 8394 14769 73.845 41.97 538.6744186046512 0.00017385421456076448
"CebuPacificAir
" 3066207 "2017-09-24 14:30:20" "2017-09-19 10:30:03" 5 40.0 200 118 470 2.35 0.59 117.6 3.8353574954332825e-05
"AirAsia
" 3054999 "2017-09-24 02:47:17" "2017-07-31 02:14:57" 55 3.6363636363636362 200 4761 5612 28.06 23.805 188.6 6.17348810916141e-05
"Razer
