User;Follower Count;First Tweet Date;Last Tweet Date;Time Between T1 Tn;Avg Tweets Per Day;Tweet Total;Retweet Total;Favorite Total;Avg Favorites;Average Retweets;Avg Inter Per Tweet;Avg Int Per Tweet Per Follower
"PlayStation
";14810323;2017-10-03 14:09:36;2017-09-07 02:00:03;26;7.6923076923076925;200;106439;277553;1387.765;532.195;14768.923076923078;0.000997204657651496
"Starbucks
";11907920;2017-10-03 14:52:35;2017-09-29 18:35:56;3;66.66666666666667;200;1834;5089;25.445;9.17;2307.6666666666665;0.00019379259070153869
"NintendoAmerica
";8039536;2017-10-01 18:00:04;2017-08-30 04:27:52;32;6.25;200;241844;510628;2553.14;1209.22;23514.75;0.0029248889488149563
"NatGeoTravel
";6044118;2017-10-03 14:00:18;2017-09-16 14:00:24;16;12.5;200;13001;38438;192.19;65.005;3214.9375;0.0005319117694260767
"SamsungMobileUS
";5360313;2017-10-03 15:02:44;2017-09-28 19:19:23;4;50.0;200;212;689;3.445;1.06;225.25;4.202179984638957e-05
"WholeFoods
";4863585;2017-10-03 14:38:36;2017-09-29 13:02:19;4;50.0;200;115;319;1.595;0.575;108.5;2.2308646810942958e-05
"SpaceX
";4843746;2017-10-02 21:11:00;2017-05-01 10:15:39;154;1.2987012987012987;200;265307;806076;4030.38;1326.535;6957.032467532467;0.0014362917600411885
"Sony
";4164554;2017-10-03 15:01:31;2017-09-12 19:56:29;20;10.0;200;42343;13049;65.245;211.715;2769.6000000000004;0.0006650412024913113
"netflix
";3700882;2017-10-02 06:15:03;2017-09-16 18:05:05;15;13.333333333333334;200;175246;199208;996.04;876.23;24963.6;0.0067453109826252225
"MichaelKors
";3607306;2017-10-01 20:00:02;2017-08-22 20:00:01;40;5.0;200;15392;95932;479.66;76.96;2783.1000000000004;0.0007715175812642455
"McDonalds
";3497763;2017-10-03 15:03:29;2017-10-02 17:33:36;1;200.0;200;311;927;4.635;1.555;1238.0;0.0003539405042594367
"Treyarch
";3396503;2017-09-29 17:13:59;2017-04-07 18:16:06;174;1.1494252873563218;200;133619;461935;2309.675;668.095;3422.7241379310344;0.0010077200396793509
"Zappos
";2828122;2017-10-03 04:46:03;2017-09-28 05:31:52;4;50.0;200;394;758;3.79;1.97;288.0;0.00010183436216683721
"Etsy
";2713955;2017-10-03 01:00:03;2017-08-06 19:00:07;57;3.508771929824561;200;4248;11743;58.715;21.24;280.5438596491228;0.00010337085900433971
"amazon
";2671234;2017-10-02 05:20:00;2017-09-01 21:06:56;30;6.666666666666667;200;5314;5863;29.315;26.57;372.56666666666666;0.00013947361656323134
"addthis
";2481184;2017-10-03 07:20:00;2017-06-01 16:14:13;123;1.6260162601626016;200;1713;1015;5.075;8.565;22.178861788617887;8.938821864326825e-06
"SUBWAY
";2457939;2017-10-03 12:07:05;2017-06-18 17:49:46;106;1.8867924528301887;200;9435;30494;152.47;47.175;376.688679245283;0.00015325387621307243
"someecards
";2343500;2017-10-03 15:00:17;2017-09-27 16:20:09;5;40.0;200;887;3240;16.2;4.435;825.4;0.0003522082355451248
"Forever21
";2295047;2017-10-03 03:02:00;2017-08-28 01:05:00;36;5.555555555555555;200;6103;44703;223.515;30.515;1411.2777777777778;0.0006149232576839506
"Bungie
";2292457;2017-10-01 18:46:08;2017-08-30 16:05:28;32;6.25;200;124475;346708;1733.54;622.375;14724.46875;0.006423007607121965
"ShareThis
";2265165;2017-09-29 15:45:01;2015-02-25 21:30:34;946;0.21035940803382663;199;4472;4672;23.477386934673365;22.472361809045225;9.665961945031713;4.267222010331129e-06
"SouthwestAir
";2163915;2017-10-03 14:57:39;2017-10-02 20:59:31;1;200.0;200;11;70;0.35;0.055;81.0;3.743215422047539e-05
"InfinityWard
";2149908;2017-09-29 17:26:16;2017-06-06 23:05:22;114;1.7543859649122806;200;32153;59646;298.23;160.765;805.2543859649122;0.00037455295108670337
"TOMS
";2134624;2017-09-29 22:00:03;2017-08-16 01:18:02;44;4.545454545454546;200;2833;2514;12.57;14.165;121.52272727272728;5.692933616071368e-05
"threadless
";2130072;2017-10-03 14:42:32;2017-08-28 02:26:44;36;5.555555555555555;200;735;1168;5.84;3.675;52.861111111111114;2.4816584186408308e-05
"JetBlue
";2114810;2017-10-03 15:04:20;2017-10-02 08:14:26;1;200.0;200;61;224;1.12;0.305;285.0;0.00013476387949744895
"AndroidDev
";1949124;2017-09-28 21:39:52;2017-05-17 23:15:58;133;1.5037593984962405;200;18373;19965;99.825;91.865;288.2556390977444;0.00014788984133269324
"ToysRUs
";1948944;2017-10-03 14:17:57;2017-09-22 18:24:40;10;20.0;200;2113;2398;11.99;10.565;451.1;0.00023145867710924482
"Target
";1925414;2017-09-29 20:21:36;2017-09-21 21:30:08;7;28.571428571428573;200;3002;7649;38.245;15.01;1521.5714285714287;0.0007902567596223091
"artnet
";1902901;2017-10-03 14:52:03;2017-09-27 00:03:01;6;33.333333333333336;200;2188;4666;23.33;10.94;1142.3333333333333;0.0006003114893172757
"Naughty_Dog
";1893965;2017-09-29 16:00:08;2017-06-13 03:30:22;108;1.8518518518518519;200;66397;210063;1050.315;331.985;2559.814814814815;0.0013515639490776306
"DuaneReade
";1860601;2017-10-01 20:00:01;2017-08-01 17:17:03;61;3.278688524590164;200;482;347;1.735;2.41;13.59016393442623;7.3041796357339534e-06
"Tesla
";1803289;2017-09-29 01:05:38;2016-09-30 17:11:43;363;0.5509641873278237;200;440648;626115;3130.575;2203.24;2938.741046831956;0.0016296561709365253
"Audi
";1802187;2017-10-02 22:50:26;2017-09-11 18:29:01;21;9.523809523809524;200;3488;13323;66.615;17.44;800.5238095238095;0.000444195751896895
"verizon
";1736665;2017-10-03 14:31:00;2017-09-24 14:26:27;9;22.22222222222222;200;880;5071;25.355;4.4;661.2222222222222;0.0003807425279038975
"amazonmusic
";1706235;2017-10-03 05:13:02;2017-09-05 22:42:46;27;7.407407407407407;200;14739;37025;185.125;73.695;1917.1851851851852;0.0011236348950673179
"github
";1647514;2017-10-02 20:42:58;2017-02-08 01:54:56;236;0.847457627118644;200;31062;53486;267.43;155.31;358.25423728813564;0.00021745140696111576
"2K
";1632985;2017-10-02 23:10:28;2017-07-03 17:26:05;91;2.197802197802198;200;155376;817;4.085;776.88;1716.4065934065934;0.0010510853396734161
"TiffanyAndCo
";1615033;2017-10-03 14:04:22;2017-07-06 13:05:22;89;2.247191011235955;200;10998;46201;231.005;54.99;642.685393258427;0.0003979394806536009
"LouisVuitton_US
";1600343;2017-10-03 00:50:11;2017-03-31 15:15:04;185;1.0810810810810811;200;6126;16635;83.175;30.63;123.03243243243243;7.687878937979698e-05
"woot
";1592239;2017-10-03 05:00:25;2017-08-04 14:00:02;59;3.389830508474576;200;600;1914;9.57;3.0;42.610169491525426;2.6761164304809406e-05
"pizzahut
";1571812;2017-10-03 14:25:11;2017-09-29 02:26:57;4;50.0;200;189;983;4.915;0.945;293.0;0.00018640906164350444
"BurgerKing
";1563544;2017-10-01 18:45:00;2017-09-07 21:39:11;23;8.695652173913043;200;12582;34404;172.02;62.91;2042.8695652173915;0.0013065635282520937
"footlocker
";1530621;2017-10-03 14:37:32;2017-09-16 14:22:54;17;11.764705882352942;200;10261;27042;135.21;51.305;2194.294117647059;0.0014335972900195797
"bethesda
";1493797;2017-10-03 14:51:50;2017-09-15 18:46:10;17;11.764705882352942;200;62353;16058;80.29;311.765;4612.411764705883;0.0030877098860861837
"AmericanAir
";1482342;2017-10-03 15:04:49;2017-10-03 03:26:52;1;200.0;200;4;30;0.15;0.02;34.0;2.2936677231030355e-05
"riotgames
";1456507;2017-09-23 19:14:31;2016-04-06 23:31:58;534;0.37453183520599254;200;52266;45074;225.37;261.33;182.28464419475657;0.00012515191770088064
"UncleLouie
";1401287;2017-10-03 12:27:02;2017-09-21 12:45:44;11;18.181818181818183;200;155775;2544;12.72;778.875;14392.636363636364;0.010271012550345763
"Delta
";1387791;2017-10-03 14:59:57;2017-10-03 01:42:59;1;200.0;200;1;29;0.145;0.005;30.0;2.1617087875623922e-05
"DellOutlet
";1376446;2017-10-03 15:00:01;2017-09-28 13:00:03;5;40.0;200;16;80;0.4;0.08;19.2;1.3948967122575094e-05
"AskPlayStation
";1246196;2017-10-03 14:59:33;2017-10-02 23:11:55;1;200.0;200;16;74;0.37;0.08;90.0;7.22197792321593e-05
"googlenexus
";1242907;2017-10-03 15:02:23;2017-09-27 12:39:40;6;33.333333333333336;200;24;23;0.115;0.12;7.833333333333334;6.302429170753189e-06
"WWENetwork
";1219832;2017-10-03 14:30:47;2017-09-24 23:55:52;8;25.0;200;57116;45116;225.58;285.58;12779.0;0.010476032765167662
"dominos
";1219333;2017-10-03 14:22:24;2017-10-01 21:01:36;1;200.0;200;160;209;1.045;0.8;369.0;0.00030262446763927494
"kfc
";1207809;2017-10-03 14:57:14;2017-09-21 13:09:14;12;16.666666666666668;200;108;303;1.515;0.54;34.25;2.8357132626102307e-05
"VANS_66
";1197689;2017-10-02 22:11:09;2017-08-23 00:46:24;40;5.0;200;4812;7727;38.635;24.06;313.475;0.0002617332212285493
"GFuelEnergy
";1144361;2017-10-03 14:48:47;2017-09-29 15:00:07;3;66.66666666666667;200;2476;14113;70.565;12.38;5529.666666666666;0.004832099893885466
"GameStop
";1138801;2017-10-03 14:53:07;2017-09-13 22:05:47;19;10.526315789473685;200;16641;25180;125.9;83.205;2201.105263157895;0.0019328269497110515
"UrbanDecay
";1136948;2017-10-02 23:12:44;2017-08-04 03:09:26;59;3.389830508474576;200;9011;57177;285.885;45.055;1121.8305084745762;0.00098670344507803
"Whataburger
";1137902;2017-10-03 14:27:49;2017-09-23 02:19:53;10;20.0;200;4097;13857;69.285;20.485;1795.4;0.0015778160157904637
"SHGames
";1123003;2017-10-01 21:04:53;2017-08-25 06:00:58;37;5.405405405405405;200;38556;59318;296.59;192.78;2645.2432432432433;0.0023555086168454077
"MTA
";1106082;2017-10-02 14:10:33;2017-08-18 21:46:35;44;4.545454545454546;200;297;409;2.045;1.485;16.045454545454547;1.4506568722259785e-05
"thinkgeek
";1088833;2017-10-03 15:00:02;2017-09-29 08:39:25;4;50.0;200;887;4187;20.935;4.435;1268.5;0.0011650087754504134
"UrbanOutfitters
";1081948;2017-10-03 09:11:08;2017-09-02 15:30:05;30;6.666666666666667;200;20247;13495;67.475;101.235;1124.7333333333333;0.0010395447224204244
"socialstartnow
";1070656;2017-10-03 15:04:02;2017-10-01 15:45:04;1;200.0;200;7;60;0.3;0.035;67.0;6.257845657241915e-05
"VSPINK
";1054258;2017-10-03 15:01:05;2017-09-19 04:19:05;14;14.285714285714286;200;3664;25582;127.91;18.32;2089.0;0.0019814884022696534
"Florez_vanessa
";1044919;2017-10-03 13:58:18;2017-09-15 00:37:24;18;11.11111111111111;200;114665;40873;204.365;573.325;8641.0;0.00826954050983856
"DVF
";1046107;2017-10-01 21:30:04;2017-04-12 16:08:06;172;1.1627906976744187;200;3801;3894;19.47;19.005;44.73837209302326;4.27665354433373e-05
"LACOSTE
";1024325;2017-10-02 11:30:42;2017-06-14 19:40:07;109;1.834862385321101;200;6409;17468;87.34;32.045;219.05504587155966;0.00021385306994514404
"GearboxSoftware
";1020393;2017-10-02 21:58:28;2017-07-31 20:11:24;63;3.1746031746031744;200;6474;13640;68.2;32.37;319.26984126984127;0.00031288909397638094
"telltalegames
";980847;2017-10-02 22:57:55;2017-08-18 16:15:01;45;4.444444444444445;200;16683;46997;234.985;83.415;1415.111111111111;0.0014427439866881492
"BethesdaStudios
";973119;2017-09-30 14:02:11;2016-11-08 02:43:00;326;0.6134969325153374;200;102610;142635;713.175;513.05;752.2852760736196;0.0007730660649659698
"Macys
";959708;2017-10-03 14:45:51;2017-09-25 18:30:24;7;28.571428571428573;200;936;2826;14.13;4.68;537.4285714285714;0.0005599917593982456
"UnderArmour
";952266;2017-10-03 14:28:10;2017-07-25 16:35:20;69;2.898550724637681;200;116008;90023;450.115;580.04;2985.95652173913;0.0031356328187073044
"united
";949030;2017-10-03 15:03:15;2017-10-02 22:10:52;1;200.0;200;3;26;0.13;0.015;29.0;3.055751662223533e-05
"beautylish
";944829;2017-10-02 01:36:23;2017-06-04 19:45:14;119;1.680672268907563;200;1388;871;4.355;6.94;18.983193277310924;2.009167084976321e-05
"TMobile
";932984;2017-10-03 15:05:11;2017-10-02 17:35:53;1;200.0;200;55;265;1.325;0.275;320.0;0.00034298551743652627
"Walgreens
";928393;2017-10-03 13:37:33;2017-09-11 19:28:00;21;9.523809523809524;200;225;424;2.12;1.125;30.904761904761905;3.328844778532572e-05
"KingBrush
";923342;2017-10-03 14:24:22;2016-10-19 07:34:26;349;0.5702005730659025;199;248533;3765;18.91959798994975;1248.9095477386934;722.9169054441261;0.0007829351480211299
"katespadeny
";914545;2017-10-03 08:20:34;2017-08-26 03:51:37;38;5.2631578947368425;200;735;2732;13.66;3.675;91.23684210526315;9.976200417176098e-05
"Citi
";907691;2017-10-03 14:52:32;2017-08-18 20:23:00;45;4.444444444444445;200;11117;48183;240.915;55.585;1317.7777777777778;0.0014517911687763542
"elgatogaming
";904739;2017-10-03 12:37:16;2017-09-07 16:43:54;25;8.0;200;14756;15056;75.28;73.78;1192.48;0.001318037577688151
"officialwcc
";904123;2017-09-22 23:15:34;2017-03-19 01:07:20;187;1.0695187165775402;200;12859;22347;111.735;64.295;188.26737967914437;0.0002082320432940478
"Lexus
";902629;2017-10-03 12:35:31;2017-09-14 22:13:34;18;11.11111111111111;200;2216;11359;56.795;11.08;754.1666666666666;0.0008355223094612146
