User;Follower Count;First Tweet Date;Last Tweet Date;Time Between T1 Tn;Avg Tweets Per Day;Tweet Total;Retweet Total;Favorite Total;Avg Favorites;Average Retweets;Avg Inter Per Tweet;Avg Int Per Tweet Per Follower
katyperry;104729450;2017-10-02 22:21:08;2017-06-15 20:21:14;109;1.8073394495412844;197;739539;2440606;12388.862944162436;3754.005076142132;29175.642201834864;0.0002785810696211511
justinbieber;102017043;2017-10-02 17:00:17;2016-11-29 11:12:04;307;0.6514657980456026;200;10889662;21829238;109146.19;54448.31;106576.22149837133;0.0010446903611818208
taylorswift13;85611854;2017-10-02 14:44:06;2017-08-21 15:00:54;41;0.3902439024390244;16;838265;2314961;144685.0625;52391.5625;76907.9512195122;0.0008983329717344072
TheEllenShow;74102881;2017-10-02 23:52:31;2017-09-11 20:13:41;21;9.523809523809524;200;875888;2670813;13354.065;4379.44;168890.52380952382;0.0022791357303574176
ladygaga;71535781;2017-10-03 08:25:35;2017-06-12 17:50:06;112;1.7857142857142858;200;1480553;4417857;22089.285;7402.765;52664.375;0.0007361962679906997
jtimberlake;62191772;2017-09-29 17:38:27;2016-10-12 22:27:35;351;0.5698005698005698;200;781829;2339820;11699.1;3909.145;8893.586894586893;0.00014300262894240888
KimKardashian;55963303;2017-10-03 15:52:06;2017-09-22 00:53:16;11;18.181818181818183;200;889233;1932845;9664.225;4446.165;256552.54545454547;0.004584299562421208
britneyspears;55656700;2017-10-02 15:22:13;2017-02-25 21:35:55;218;0.9174311926605505;200;502650;2424286;12121.43;2513.25;13426.311926605506;0.00024123442328786123
ArianaGrande;53464264;2017-10-03 01:52:55;2017-06-10 16:39:19;114;1.7543859649122806;200;2762680;11961448;59807.24;13813.4;129159.01754385965;0.0024158009085070292
selenagomez;53165418;2017-09-20 04:56:37;2016-03-17 22:28:33;551;0.3629764065335753;200;3742738;10049801;50249.005;18713.69;25031.83121597096;0.00047082919983758916
ddlovato;49654796;2017-10-03 15:59:27;2017-08-28 01:50:14;36;5.5;198;968122;2646476;13366.040404040405;4889.50505050505;100405.5;0.0020220705367513746
jimmyfallon;49246403;2017-10-03 13:09:32;2017-07-23 12:50:01;72;2.7777777777777777;200;344715;679310;3396.55;1723.575;14222.569444444445;0.0002888042288985948
JLo;43425491;2017-10-02 16:15:50;2017-07-26 02:08:45;68;2.9411764705882355;200;107154;509844;2549.22;535.77;9073.5;0.000208944096913032
BillGates;39263307;2017-09-30 15:55:58;2017-03-10 22:06:33;203;0.9852216748768473;200;350972;1291550;6457.75;1754.86;8091.241379310344;0.00020607641071370642
Oprah;39035572;2017-10-03 15:35:27;2017-04-27 02:34:54;159;1.2578616352201257;200;109752;442698;2213.49;548.76;3474.528301886792;8.900928368327208e-05
KingJames;38752985;2017-10-03 15:41:45;2017-03-25 16:12:35;191;1.0471204188481675;200;5412868;7389093;36945.465;27064.34;67025.97382198952;0.0017295693176148758
MileyCyrus;36732697;2017-10-03 02:45:14;2017-08-01 01:03:15;63;3.1587301587301586;199;699954;2812774;14134.542713567838;3517.356783919598;55757.5873015873;0.0015179279458186069
BrunoMars;35316512;2017-10-02 06:07:05;2017-05-02 14:27:57;152;1.3157894736842106;200;623063;2645905;13229.525;3115.315;21506.368421052633;0.0006089607156293531
KevinHart4real;34926173;2017-10-03 15:53:57;2017-09-03 16:29:42;29;6.896551724137931;200;231422;198185;990.925;1157.11;14814.03448275862;0.00042415281178268856
wizkhalifa;32097879;2017-10-03 14:16:01;2017-06-30 01:23:44;95;2.094736842105263;199;954879;2281883;11466.748743718594;4798.386934673367;34071.17894736842;0.0010614775807263907
LilTunechi;31389663;2017-10-02 13:54:22;2016-10-21 03:24:04;346;0.5780346820809249;200;593044;1435229;7176.145;2965.22;5862.060693641619;0.00018675131025272935
