User;Follower Count;First Tweet Date;Last Tweet Date;Time Between T1 Tn;Avg Tweets Per Day;Tweet Total;Retweet Total;Favorite Total;Avg Favorites;Average Retweets;Avg Inter Per Tweet;Avg Int Per Tweet Per Follower
NFL;24143361;2017-10-03 16:00:50;2017-10-01 20:23:47;1;200.0;200;144074;151178;755.89;720.37;295252.0;0.012229117561552429
WWE;9562166;2017-10-03 16:00:36;2017-10-01 01:02:33;2;100.0;200;73833;153955;769.775;369.165;113894.0;0.01191089968528051
MLB;7750244;2017-10-03 15:56:53;2017-09-30 00:21:12;3;66.66666666666667;200;128327;111204;556.02;641.635;79843.66666666666;0.010302084252659226
Lakers;6903611;2017-10-03 15:39:24;2017-09-29 06:57:09;4;50.0;200;62043;143766;718.83;310.215;51452.25;0.007452947450254656
ufc;6274803;2017-10-02 17:00:51;2017-09-18 17:54:27;13;15.384615384615385;200;251532;91266;456.33;1257.66;26369.076923076922;0.004202375265498682
NHL;5975514;2017-10-03 15:53:17;2017-09-27 02:12:21;6;33.333333333333336;200;42251;69948;349.74;211.255;18699.833333333332;0.003129410011144369
WWEUniverse;5109056;2017-10-03 14:00:09;2017-09-26 02:57:24;7;28.571428571428573;200;52816;39045;195.225;264.08;13123.0;0.0025685762692755766
warriors;4620695;2017-10-03 15:36:01;2017-09-20 19:50:18;12;16.666666666666668;200;165994;259532;1297.66;829.97;35460.5;0.007674278436468973
MiamiHEAT;4463395;2017-10-03 00:55:56;2017-09-01 16:10:12;31;6.451612903225806;200;57302;91086;455.43;286.51;4786.709677419355;0.0010724369403602762
chicagobulls;3906722;2017-10-03 15:10:52;2017-09-15 21:21:56;17;11.764705882352942;200;25395;76869;384.345;126.975;6015.529411764706;0.0015397894735700943
Patriots;3714547;2017-10-03 16:00:40;2017-09-24 20:49:53;8;25.0;200;71779;233191;1165.955;358.895;38121.25;0.010262691520661874
dallascowboys;3410020;2017-10-03 16:00:14;2017-09-27 20:08:18;5;40.0;200;78931;166182;830.91;394.655;49022.600000000006;0.014376044715280265
NASCAR;3303359;2017-10-03 16:00:08;2017-09-29 13:00:07;4;50.0;200;13324;38171;190.855;66.62;12873.75;0.0038971695174517818
MLS;3107358;2017-10-03 15:57:09;2017-09-30 23:51:54;2;100.0;200;8054;10236;51.18;40.27;9145.0;0.002943014612413504
spurs;2798105;2017-10-03 11:30:04;2017-09-12 13:00:02;20;10.0;200;89360;184835;924.175;446.8;13709.75;0.004899655302427893
Yankees;2779987;2017-10-03 15:29:32;2017-09-27 02:36:25;6;33.333333333333336;200;84648;243547;1217.735;423.24;54699.166666666664;0.019676051242925475
celtics;2704537;2017-10-03 05:00:07;2017-08-23 14:00:37;40;5.0;200;139642;394468;1972.34;698.21;13352.75;0.004937166694336221
steelers;2683914;2017-10-03 16:01:19;2017-09-24 18:04:32;8;25.0;200;139813;227077;1135.385;699.065;45861.25;0.017087451386296283
CollegeGameDay;2600570;2017-10-01 20:47:37;2017-08-26 16:00:02;36;5.555555555555555;200;221027;387369;1936.845;1105.135;16899.88888888889;0.006498532586659421
cavs;2589397;2017-10-03 15:55:09;2017-09-09 23:37:33;23;8.695652173913043;200;382024;642605;3213.025;1910.12;44549.08695652174;0.017204425183361897
Broncos;2494064;2017-10-03 16:01:39;2017-09-25 21:27:46;7;28.571428571428573;200;39411;118923;594.615;197.055;22619.142857142855;0.009069191030038866
Panthers;2467302;2017-10-03 15:19:04;2017-09-24 21:24:34;8;25.0;200;79899;132167;660.835;399.495;26508.25;0.010743820578105153
NHLBlackhawks;2364671;2017-10-03 15:54:41;2017-09-22 18:31:10;10;20.0;200;17079;66461;332.305;85.395;8354.0;0.003532838183409024
Eagles;2360862;2017-10-03 15:31:57;2017-09-24 22:06:27;8;25.0;200;144542;205082;1025.41;722.71;43703.0;0.01851145895016312
Cubs;2186049;2017-10-03 15:50:14;2017-09-27 18:32:42;5;40.0;200;140212;361413;1807.065;701.06;100325.0;0.04589329882358538
okcthunder;2143738;2017-10-03 12:54:51;2017-08-14 23:50:08;49;4.081632653061225;200;111314;262866;1314.33;556.57;7636.326530612245;0.00356215476453384
Seahawks;2123515;2017-10-03 00:59:02;2017-09-25 22:04:50;7;28.571428571428573;200;36752;107827;539.135;183.76;20654.14285714286;0.009726393671409365
ussoccer;2096225;2017-10-03 12:36:55;2017-09-02 19:27:21;30;6.666666666666667;200;31981;70779;353.895;159.905;3425.3333333333335;0.0016340485078335262
HoustonRockets;2083810;2017-10-02 22:40:07;2017-08-20 20:45:30;43;4.651162790697675;200;120633;139958;699.79;603.165;6060.2558139534885;0.002908257381408808
AtlantaFalcons;2073781;2017-10-03 14:40:00;2017-09-25 01:30:04;8;25.0;200;98843;81699;408.495;494.215;22567.75;0.010882417188700253
packers;2016700;2017-10-03 15:22:56;2017-09-28 15:58:05;4;50.0;200;96685;233900;1169.5;483.425;82646.25;0.04098093419943472
DukeMBB;2005635;2017-10-03 13:13:25;2017-08-08 00:33:22;56;3.5714285714285716;200;105039;197627;988.135;525.195;5404.75;0.0026947824504458687
NCAA;1923020;2017-10-03 15:19:37;2017-09-03 02:07:15;30;6.666666666666667;200;36167;28517;142.585;180.835;2156.133333333333;0.0011212225215199703
TeamUSA;1903166;2017-10-03 15:58:06;2017-09-17 14:07:04;16;12.5;200;5833;15722;78.61;29.165;1347.1875;0.0007078665234666866
PGATOUR;1898149;2017-10-03 15:36:58;2017-09-29 22:52:13;3;66.66666666666667;200;20338;75943;379.715;101.69;32093.666666666664;0.016907875338904723
nyknicks;1893147;2017-10-03 15:00:47;2017-08-31 12:22:21;33;6.0606060606060606;200;51022;82668;413.34;255.11;4051.212121212121;0.002139935314696704
RedSox;1889589;2017-10-03 16:00:28;2017-09-29 21:38:24;3;66.66666666666667;200;52030;123899;619.495;260.15;58643.0;0.031034791163581075
usopen;1862192;2017-10-03 15:45:06;2017-09-21 15:37:14;12;16.666666666666668;200;20554;75866;379.33;102.77;8035.0;0.0043148074956825076
49ers;1809500;2017-10-03 15:55:06;2017-09-22 04:25:11;11;18.181818181818183;200;34325;71931;359.655;171.625;9659.636363636364;0.005338290336356101
XGames;1773927;2017-10-02 19:25:45;2017-07-16 00:33:23;78;2.5641025641025643;200;19576;41139;205.695;97.88;778.3974358974359;0.00043879902380280356
ussoccer_wnt;1766408;2017-10-02 21:27:19;2017-09-11 19:26:12;21;9.523809523809524;200;54055;212315;1061.575;270.275;12684.285714285714;0.007180835749320493
Phillies;1721255;2017-10-03 15:34:56;2017-09-26 23:07:01;6;33.333333333333336;200;24247;37891;189.455;121.235;10356.333333333334;0.006016733914111119
Dodgers;1710619;2017-10-03 00:39:58;2017-10-01 03:48:54;1;200.0;200;25387;47607;238.035;126.935;72994.0;0.04267110326729681
Giants;1696780;2017-10-03 15:30:32;2017-09-24 14:10:25;9;22.22222222222222;200;33678;74278;371.39;168.39;11995.111111111111;0.007069337870030948
SFGiants;1680352;2017-10-03 15:54:59;2017-09-28 16:51:20;4;49.75;199;34825;70943;356.49748743718595;175.0;26442.0;0.015735988649997142
HoustonTexans;1676368;2017-10-03 16:00:08;2017-10-01 12:46:46;2;100.0;200;49650;78731;393.655;248.25;64190.5;0.03829141334122341
penguins;1612611;2017-10-03 16:01:12;2017-09-26 17:10:58;6;33.333333333333336;200;27346;97898;489.49;136.73;20874.0;0.012944225234728029
OrlandoMagic;1555051;2017-10-03 15:40:38;2017-08-10 14:29:03;54;3.685185185185185;199;11799;16026;80.53266331658291;59.29145728643216;515.2777777777778;0.00033135747816488194
ChicagoBears;1542248;2017-10-03 02:32:52;2017-09-24 21:03:19;8;25.0;200;46352;138947;694.735;231.76;23162.375;0.015018580020852677
dallasmavs;1384181;2017-10-03 15:43:54;2017-09-05 21:32:26;27;7.407407407407407;200;58181;31951;159.755;290.905;3338.222222222222;0.002411694873880094
tigers;1366842;2017-10-03 15:16:56;2017-09-21 19:52:47;11;18.09090909090909;199;16931;49556;249.0251256281407;85.08040201005025;6044.272727272727;0.004422071261545027
NHLFlyers;1363651;2017-10-03 00:13:05;2017-09-13 19:48:31;19;10.526315789473685;200;14722;50539;252.695;73.61;3434.7894736842104;0.002518818578715676
Rangers;1330291;2017-10-03 14:00:03;2017-09-23 01:04:29;10;20.0;200;30556;47019;235.095;152.78;7757.5;0.005831430867381648
NYRangers;1327697;2017-10-03 00:07:00;2017-09-23 00:39:14;9;22.22222222222222;200;11172;43535;217.675;55.86;6078.555555555556;0.004578270159197133
Ravens;1315453;2017-10-03 15:52:17;2017-09-24 20:00:04;8;25.0;200;29408;58565;292.825;147.04;10996.625;0.008359572709933384
NHLBruins;1300934;2017-10-03 15:49:56;2017-09-24 01:01:10;9;22.22222222222222;200;6398;30808;154.04;31.99;4134.0;0.0031777169326038064
RAIDERS;1297393;2017-10-03 02:12:29;2017-09-19 19:48:54;13;15.384615384615385;200;116065;235298;1176.49;580.325;27027.923076923078;0.02083248720851976
LAClippers;1286615;2017-10-03 09:43:22;2017-09-26 18:39:56;6;33.333333333333336;200;13616;34596;172.98;68.08;8035.333333333334;0.006245328504123871
Lions;1232798;2017-10-03 14:17:02;2017-09-25 11:59:12;8;24.875;199;14887;51056;256.56281407035175;74.80904522613065;8242.875;0.006686314384027229
MatchGrade;1204488;2016-06-16 20:56:39;2015-08-10 19:05:34;311;0.6430868167202572;200;9263;1280;6.4;46.315;33.90032154340836;2.8145005631777453e-05
Saints;1179454;2017-10-03 15:31:48;2017-09-28 09:49:44;5;40.0;200;21643;30344;151.72;108.215;10397.400000000001;0.00881543493853936
nyjets;1174412;2017-10-03 14:53:53;2017-09-27 20:28:30;5;40.0;200;18473;41641;208.205;92.365;12022.800000000001;0.010237293215668778
sixers;1171097;2017-10-03 13:00:18;2017-09-07 12:43:15;26;7.6923076923076925;200;48356;114596;572.98;241.78;6267.384615384615;0.005351721177139567
DetroitRedWings;1171232;2017-10-03 14:30:20;2017-09-28 14:56:01;4;50.0;200;7870;22908;114.54;39.35;7694.5;0.0065695780169940715
Redskins;1168848;2017-10-03 15:09:05;2017-09-25 04:36:39;8;25.0;200;52426;80108;400.54;262.13;16566.75;0.014173570900579031
Braves;1144386;2017-10-03 13:29:14;2017-09-23 01:55:43;10;20.0;200;11828;36031;180.155;59.14;4785.9;0.004182067938615117
Cardinals;1138610;2017-10-02 20:20:32;2017-09-26 02:43:23;6;33.333333333333336;200;12159;41483;207.415;60.795;8940.333333333332;0.007851971555961507
ATLHawks;1121998;2017-10-03 14:51:04;2017-09-19 19:32:25;13;15.384615384615385;200;8175;14523;72.615;40.875;1746.0;0.0015561525065107067
LAKings;1100140;2017-10-03 15:58:56;2017-09-21 20:00:00;11;18.181818181818183;200;10551;31346;156.73;52.755;3808.8181818181815;0.0034621213498447303
marchmadness;1094460;2017-10-02 20:13:40;2017-05-19 15:02:46;136;1.4705882352941178;200;23837;19437;97.185;119.185;318.19117647058823;0.00029072892245544674
IndianaMBB;1035800;2017-10-03 13:52:20;2017-08-09 16:07:59;54;3.7037037037037037;200;23780;48187;240.935;118.9;1332.7222222222222;0.001286659801334449
NBAHistory;1034838;2017-10-02 22:49:07;2017-07-23 23:12:26;70;2.857142857142857;200;105805;113300;566.5;529.025;3130.0714285714284;0.0030246970333244706
Pacers;1015787;2017-10-03 14:11:57;2017-08-24 17:30:34;39;5.128205128205129;200;34869;23637;118.185;174.345;1500.1538461538462;0.001476838989033967
Chiefs;1003229;2017-10-03 15:57:05;2017-09-25 14:01:05;8;25.0;200;43679;111748;558.74;218.395;19428.375;0.019365842693941263
trailblazers;996294;2017-10-03 04:37:32;2017-09-14 18:41:49;18;11.11111111111111;200;21413;59171;295.855;107.065;4476.888888888889;0.004493541955375511
astros;966000;2017-10-03 15:30:08;2017-09-26 01:41:41;7;28.571428571428573;200;56330;132518;662.59;281.65;26978.285714285717;0.027927832002366166
Royals;955870;2017-10-03 15:41:31;2017-09-23 00:11:12;10;20.0;200;35908;136571;682.855;179.54;17247.9;0.018044190109533724
Browns;952574;2017-10-03 15:36:51;2017-09-24 15:03:05;9;22.22222222222222;200;14808;39239;196.195;74.04;6005.222222222222;0.006304205470884385
Vikings;952536;2017-10-03 15:54:48;2017-09-24 22:40:04;8;25.0;200;20138;70613;353.065;100.69;11343.875;0.011909129943645175
Mets;947491;2017-10-03 15:03:22;2017-09-25 17:31:28;7;28.571428571428573;200;14253;49176;245.88;71.265;9061.285714285714;0.009563453071623597
Suns;914955;2017-10-02 23:48:18;2017-09-13 03:02:58;19;10.526315789473685;200;10936;29805;149.025;54.68;2144.2631578947367;0.002343572260815818
Colts;907893;2017-10-03 14:52:36;2017-09-17 17:34:36;15;13.333333333333334;200;55191;108314;541.57;275.955;10900.333333333334;0.01200618721956589
MiamiDolphins;906657;2017-10-03 15:57:28;2017-09-25 20:05:57;7;28.571428571428573;200;14701;23881;119.405;73.505;5511.714285714286;0.006079161453244487
Angels;879951;2017-10-02 16:14:25;2017-09-21 19:24:03;10;20.0;200;13329;40165;200.825;66.645;5349.4;0.006079202137391741
ClemsonFB;867798;2017-10-03 14:55:41;2017-09-17 01:57:55;16;12.5;200;69873;150508;752.54;349.365;13773.8125;0.01587214132782053
Indians;858568;2017-10-03 15:49:43;2017-09-30 00:16:29;3;66.66666666666667;200;26531;86429;432.145;132.655;37653.333333333336;0.043855971027726794
AZCardinals;853117;2017-10-03 16:00:06;2017-09-27 17:46:54;5;40.0;200;36978;29781;148.905;184.89;13351.8;0.015650608298744484
memgrizz;843954;2017-10-03 15:09:57;2017-09-25 15:27:36;7;28.571428571428573;200;5572;15215;76.075;27.86;2969.5714285714284;0.003518641334209481
SacramentoKings;842632;2017-10-03 15:46:52;2017-09-21 22:47:29;11;18.181818181818183;200;18999;46325;231.625;94.995;5938.545454545454;0.007047614444437731
DallasStars;840167;2017-10-03 15:25:24;2017-09-19 21:08:43;13;15.384615384615385;200;19052;52757;263.785;95.26;5523.7692307692305;0.006574608656099597
UNC_Basketball;834575;2017-10-03 15:35:00;2017-05-16 23:15:03;139;1.4388489208633093;200;116676;200207;1001.035;583.38;2279.73381294964;0.002731610475930432
KUHoops;834322;2017-10-02 15:27:52;2017-08-02 13:59:39;61;3.278688524590164;200;22959;75089;375.445;114.795;1607.344262295082;0.0019265274825488025
BrooklynNets;817885;2017-10-03 15:11:29;2017-09-10 14:53:42;23;8.695652173913043;200;80632;29368;146.84;403.16;4782.608695652174;0.005847531982677484
whitesox;806095;2017-10-02 23:13:23;2017-09-24 21:17:50;8;25.0;200;17207;62089;310.445;86.035;9912.0;0.012296317431568239
hornets;804884;2017-10-03 14:30:05;2017-09-16 20:18:55;16;12.5;200;6376;20054;100.27;31.88;1651.875;0.002052314370766471
BuffaloSabres;803583;2017-10-03 15:56:59;2017-09-23 15:01:11;10;20.0;200;7816;23174;115.87;39.08;3099.0;0.0038564778000530126
buffalobills;797381;2017-10-03 15:35:22;2017-09-25 19:20:02;7;28.571428571428573;200;38776;98450;492.25;193.88;19603.714285714286;0.02458512842131213
TheMasters;784869;2017-08-23 15:00:25;2017-04-05 11:45:01;140;1.4285714285714286;200;58059;118161;590.805;290.295;1258.7142857142858;0.0016037253168545143
Bucks;780319;2017-10-03 15:53:51;2017-09-26 00:48:03;7;28.571428571428573;200;11834;18822;94.11;59.17;4379.428571428572;0.005612356704666388
