User,Follower Count,First Tweet Date,Last Tweet Date,Time Between T1 Tn,Avg Tweets Per Day,Tweet Total,Retweet Total,Favorite Total,Avg Favorites,Average Retweets,Avg Inter Per Tweet,Avg Int Per T Per Follower
katyperry,103984459,9/18/17 23:51,6/14/17 20:44,96,2.072916667,199,698673,2196667,11038.52764,3510.919598,30159.79167,0.000290041
justinbieber,101454393,9/15/17 23:45,11/27/16 21:55,292,0.684931507,200,10762271,21401219,107006.095,53811.355,110148.9384,0.001085699
BarackObama,94920771,9/18/17 20:07,9/14/16 16:40,369,0.54200542,200,7488285,28117158,140585.79,37441.425,96491.71545,0.00101655
taylorswift13,85545203,9/7/17 15:12,8/21/17 15:00,17,0.647058824,11,700807,1900966,172815.0909,63709.72727,153045.4706,0.00178906
rihanna,78104533,9/19/17 14:27,4/4/16 20:18,532,0.37406015,199,2724599,7935019,39874.46734,13691.45226,20036.87594,0.000256539
TheEllenShow,73512891,9/19/17 2:16,8/23/17 22:54,26,7.692307692,200,562974,2489414,12447.07,2814.87,117399.5385,0.001596993
ladygaga,70673830,9/18/17 7:09,3/28/17 19:30,173,1.156069364,200,1526425,4293890,21469.45,7632.125,33643.43931,0.000476038
YouTube,69851717,9/19/17 14:02,8/15/17 17:42,34,5.882352941,200,50265,246483,1232.415,251.325,8727.882353,0.000124949
Cristiano,59422016,9/18/17 18:00,1/23/17 19:43,237,0.843881857,200,2732550,13196069,65980.345,13662.75,67209.36287,0.001131052
KimKardashian,55644739,9/19/17 6:45,8/31/17 17:28,18,11.11111111,200,1367607,734505,3672.525,6838.035,116784,0.002098743
britneyspears,55508569,9/18/17 19:00,2/22/17 1:12,208,0.961538462,200,464920,2251941,11259.705,2324.6,13061.83173,0.000235312
selenagomez,52736615,9/4/17 16:13,3/10/16 0:36,543,0.368324125,200,3708001,9795187,48975.935,18540.005,24867.74954,0.000471546
cnnbrk,52553770,9/19/17 14:42,9/10/17 15:02,8,25,200,74543,87200,436,372.715,20217.875,0.000384708
ArianaGrande,52631336,9/19/17 11:15,5/30/17 15:30,111,1.801801802,200,3126376,13063757,65318.785,15631.88,145857.0541,0.002771297
jimmyfallon,49056972,9/19/17 14:20,6/20/17 11:55,91,2.197802198,200,180035,661538,3307.69,900.175,9248.054945,0.000188517
ddlovato,48922917,9/19/17 3:27,8/2/17 19:34,47,4.234042553,199,1286230,3935143,19774.58794,6463.467337,111093.0426,0.002270777
shakira,47762221,9/19/17 14:06,6/8/17 20:32,102,1.960784314,200,154364,837835,4189.175,771.82,9727.441176,0.000203664
JLo,43090843,9/18/17 22:11,7/24/17 15:35,56,3.571428571,200,68952,415202,2076.01,344.76,8645.607143,0.000200637
instagram,39585269,9/19/17 11:45,7/21/17 23:50,59,3.389830508,200,26354,131445,657.225,131.77,2674.559322,6.76E-05
nytimes,39466783,9/19/17 14:41,9/18/17 2:51,1,200,200,44185,72698,363.49,220.925,116883,0.002961554
Oprah,38680755,9/18/17 6:23,4/16/17 2:40,155,1.290322581,200,109172,427581,2137.905,545.86,3462.922581,8.95E-05
BillGates,38697442,9/18/17 20:49,2/24/17 13:26,206,0.970873786,200,356512,1266278,6331.39,1782.56,7877.621359,0.00020357
realDonaldTrump,38620025,9/19/17 11:22,8/24/17 12:25,25,8,200,3252741,12175606,60878.03,16263.705,617133.88,0.015979634
KingJames,38310617,9/18/17 18:45,3/14/17 0:03,188,1.063829787,200,4494177,5216275,26081.375,22470.885,51651.34043,0.001348225
CNN,37643750,9/19/17 14:40,9/18/17 11:40,1,200,200,37321,53508,267.54,186.605,90829,0.002412857
Drake,36236143,9/18/17 16:53,7/28/14 7:17,1148,0.169860627,195,3924850,4520078,23179.88718,20127.4359,7356.209059,0.000203008
MileyCyrus,36351186,9/19/17 2:42,6/11/17 19:44,99,2.02020202,200,848709,3600775,18003.875,4243.545,44944.28283,0.001236391
KevinHart4real,34872149,9/16/17 23:08,8/16/17 21:57,31,6.451612903,200,89110,301220,1506.1,445.55,12591.29032,0.00036107
SportsCenter,34624856,9/19/17 14:20,9/9/17 19:41,9,22.22222222,200,529730,1226580,6132.9,2648.65,195145.5556,0.005635996
