User "Follower Count" "First Tweet Date" "Last Tweet Date" "Time Between T1 Tn" "Avg Tweets Per Day" "Tweet Total" "Retweet Total" "Favorite Total" "Avg Favorites" "Average Retweets" "Avg Inter Per Tweet" "Avg Int Per Tweet Per Follower"
katyperry 104115115 "2017-09-21 04:32:17" "2017-06-15 00:38:50" 98 2.0306122448979593 199 710141 2280592 11460.261306532664 3568.547738693467 30517.683673469386 0.000293114824619551
justinbieber 101622696 "2017-09-15 23:45:34" "2016-11-27 21:55:12" 292 0.684931506849315 200 10769416 21415943 107079.715 53847.08 110223.83219178082 0.001084637945363906
BarackObama 95035431 "2017-09-20 16:32:34" "2016-09-14 19:05:00" 370 0.5405405405405406 200 7916011 29485127 147425.635 39580.055 101084.15675675675 0.0010636470597661283
taylorswift13 85567901 "2017-09-07 15:12:57" "2017-08-21 15:00:54" 17 0.6470588235294118 11 701375 1904062 173096.54545454544 63761.36363636364 153261.0 0.0017911038860238023
rihanna 78314788 "2017-09-21 13:36:51" "2016-04-20 07:33:37" 519 0.3834296724470135 199 2711184 7957116 39985.50753768844 13624.040201005026 20555.49132947977 0.0002624726677352401
TheEllenShow 73610364 "2017-09-21 02:55:22" "2017-08-29 01:34:52" 23 8.695652173913043 200 406006 2058221 10291.105 2030.03 107140.30434782608 0.0014555056995483146
ladygaga 70817227 "2017-09-21 09:32:25" "2017-04-02 17:26:33" 171 1.1695906432748537 200 1538565 4308471 21542.355 7692.825 34193.19298245614 0.0004828372195716748
YouTube 69881500 "2017-09-21 01:00:12" "2017-08-18 18:42:18" 33 6.0606060606060606 200 157967 471406 2357.03 789.835 19071.909090909092 0.0002729178550962571
jtimberlake 62010497 "2017-09-21 01:45:29" "2016-10-10 22:54:31" 345 0.5797101449275363 200 784717 2307345 11536.725 3923.585 8962.498550724638 0.000144531958044533
Twitter 61947194 "2017-09-20 19:44:05" "2017-08-25 17:58:21" 26 7.6923076923076925 200 121511 11440 57.2 607.555 5113.5 8.254611177384402e-05
